task_id,scenario,mode,replicate,source_count,affected_count,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold,delta_auc,delta_auprc,delta_mcc,delta_accuracy
gue_emp_H3,complete_sources,deployment_shift,0,53,0,0.9557487370807376,0.9528777505693167,0.7875763263555277,0.8937875751503006,0.8937389550347191,0.8993377483443709,0.8881401617250674,0.4908495913445951,0.0,0.0,0.0,0.0
gue_emp_H3,missing_group:engineered_descriptors,deployment_shift,0,53,22,0.9552435693757698,0.9522250783877511,0.7862481030201219,0.8931195724782899,0.8930651005872798,0.8993377483443709,0.8867924528301887,0.4908495913445951,-0.0005051677049677794,-0.0006526721815656167,-0.0013282233354057205,-0.0006680026720107257
gue_emp_H3,missing_group:foundation_evidence,deployment_shift,0,53,23,0.955668410060513,0.9516232097731391,0.7906119133963551,0.895123580494322,0.8949706360114957,0.9125827814569536,0.8773584905660378,0.4908495913445951,-8.032702022464644e-05,-0.0012545407961775945,0.0030355870408274033,0.0013360053440213404
gue_emp_H3,missing_group:sequence_grammar,deployment_shift,0,53,5,0.954267149818818,0.9510083105459612,0.780979686310759,0.8904475617902472,0.8903580800057121,0.9006622516556292,0.8800539083557951,0.4908495913445951,-0.0014815872619196035,-0.0018694400233554287,-0.006596640044768676,-0.0033400133600534065
gue_emp_H3,missing_group:derived_evidence,deployment_shift,0,53,3,0.9486674639867193,0.9473611480215262,0.728787665212371,0.8617234468937875,0.861173488513236,0.9245033112582781,0.7978436657681941,0.4908495913445951,-0.007081273094018292,-0.005516602547790517,-0.05878866114315662,-0.03206412825651306
gue_emp_H3,missing_strongest_source,deployment_shift,0,53,1,0.9535834776244623,0.9512837321627341,0.7691027372221046,0.8837675350701403,0.8834686992377858,0.9178807947019868,0.8490566037735849,0.4908495913445951,-0.002165259456275326,-0.0015940184065825758,-0.018473589133423007,-0.01002004008016033
gue_emp_H3,conflicting_strongest_source,deployment_shift,0,53,1,0.7740936434551329,0.7151002133505421,0.4148904459517427,0.7074148296593187,0.7074507773870513,0.7033112582781457,0.7115902964959568,0.4908495913445951,-0.18165509362560472,-0.2377775372187746,-0.372685880403785,-0.18637274549098193
gue_emp_H3,random_missing_20pct,deployment_shift,1,53,11,0.9508987701040681,0.9479441240067515,0.7264728483077677,0.8570474281897128,0.8562244515449564,0.9509933774834437,0.761455525606469,0.4908495913445951,-0.004849966976669506,-0.00493362656256513,-0.06110347804775995,-0.036740146960587805
gue_emp_H3,random_missing_20pct,deployment_shift,2,53,11,0.9569661376983631,0.9551940577570935,0.7880057985669358,0.8937875751503006,0.893622927116617,0.9125827814569536,0.8746630727762803,0.4908495913445951,0.0012174006176255414,0.002316307187776867,0.00042947221140809955,0.0
gue_emp_H3,random_missing_20pct,deployment_shift,3,53,11,0.9551346816372432,0.951884005906214,0.7889411783969963,0.8944555778223113,0.894389603898538,0.9019867549668874,0.8867924528301887,0.4908495913445951,-0.0006140554434943546,-0.000993744663102647,0.0013648520414686338,0.0006680026720107257
gue_emp_H3,random_missing_20pct,deployment_shift,4,53,11,0.9561557273165421,0.9538267240721998,0.7917097422555969,0.8957915831663327,0.8956909016261758,0.9072847682119205,0.8840970350404312,0.4908495913445951,0.000406990235804483,0.0009489735028831436,0.004133415900069215,0.002004008016032066
gue_emp_H3,random_missing_20pct,deployment_shift,5,53,11,0.9532443190946251,0.9500334912501017,0.7572619845354412,0.8764195056780227,0.8759286696060407,0.9324503311258279,0.8194070080862533,0.4908495913445951,-0.0025044179861124505,-0.002844259319214948,-0.03031434182008641,-0.01736806947227787
gue_emp_H3,random_missing_20pct,deployment_shift,6,53,11,0.9562521197408115,0.9525736978721308,0.7930268414739874,0.8964595858383434,0.8963647560736152,0.9072847682119205,0.8854447439353099,0.4908495913445951,0.0005033826600738811,-0.0003040526971859192,0.005450515118459731,0.002672010688042792
gue_emp_H3,random_missing_20pct,deployment_shift,7,53,11,0.953158636939719,0.9506219540250048,0.7690921635735393,0.8830995323981295,0.8827020224558648,0.928476821192053,0.8369272237196765,0.4908495913445951,-0.0025901001410185698,-0.00225579654431185,-0.01848416278198839,-0.010688042752171056
gue_emp_H3,random_missing_20pct,deployment_shift,8,53,11,0.9554024383713251,0.9525694808769251,0.7902488725255734,0.895123580494322,0.8950750611377876,0.9006622516556292,0.889487870619946,0.4908495913445951,-0.00034629870941249585,-0.00030826969239161617,0.002672546170045753,0.0013360053440213404
gue_emp_H3,random_missing_20pct,deployment_shift,9,53,11,0.9558933257171418,0.953872622974181,0.7916402098021335,0.8957915831663327,0.8957141072097963,0.904635761589404,0.8867924528301887,0.4908495913445951,0.00014458863640420816,0.0009948724048642887,0.004063883446605798,0.002004008016032066
gue_emp_H3,random_missing_20pct,deployment_shift,10,53,11,0.9470752039413791,0.9428738110501826,0.7158738420920694,0.8530394121576487,0.8522973527784223,0.937748344370861,0.7668463611859838,0.4908495913445951,-0.00867353313935848,-0.01000393951913403,-0.07170248426345827,-0.04074816299265194
gue_emp_H3,random_missing_20pct,deployment_shift,11,53,11,0.9529640670462862,0.9502407860154705,0.7753672467902761,0.8864395457581831,0.8860712946930616,0.928476821192053,0.8436657681940701,0.4908495913445951,-0.0027846700344513753,-0.0026369645538462105,-0.012209079565251524,-0.007348029392117539
