task_id,source_id,source_tier,evidence,prediction_head,source_family,oof_auc,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,P23,Primitive feature head,1--3-mer composition,Logistic L2 (C=1),Composition and FCGR,0.8441949402618184,0.8313971546384391,0.7702763992097448,0.5614206179414692,0.7755511022044088,0.7746755680905375,0.8754966887417218,0.6738544474393531,0.4508378617465496
gue_emp_H3,P24,Primitive feature head,1--3-mer composition,Logistic L2 (C=0.3),Composition and FCGR,0.8409602659353603,0.8272576355295335,0.7630456556220617,0.5618633560650284,0.7775551102204409,0.7768363649345782,0.8596026490066225,0.6940700808625337,0.480089800953865
gue_emp_H3,P18,Primitive feature head,4--6-mer composition,Logistic L2 (C=1),Composition and FCGR,0.8724274342982397,0.8659609789186198,0.8312408661258497,0.5829634996166657,0.790247160988644,0.7898020385212687,0.8410596026490066,0.738544474393531,0.4971447205543518
gue_emp_H3,P19,Primitive feature head,4--6-mer composition,Logistic L2 (C=0.3),Composition and FCGR,0.8720151873531173,0.865545063458346,0.830652305003708,0.5934378233159383,0.7962591850367402,0.7959711536745149,0.8291390728476821,0.7628032345013477,0.4997723740339279
gue_emp_H3,P06,Primitive feature head,Order-4 FCGR,Scaled logistic L2 (C=1),Composition and FCGR,0.8994953378866969,0.8955391728101961,0.8810135008840849,0.6313050001345403,0.8156312625250501,0.8156637689437889,0.8119205298013245,0.8194070080862533,0.5158076289296153
gue_emp_H3,P05,Primitive feature head,Order-4 FCGR,ExtraTrees (300),Composition and FCGR,0.9062655908391803,0.9046312989771692,0.9028991155487908,0.6393046339138321,0.8196392785571143,0.8195444565430821,0.8304635761589404,0.8086253369272237,0.5233333110809326
gue_emp_H3,P11,Primitive feature head,Basic motif/position descriptors,Scaled logistic L2 (C=1),Motif and position,0.879094586895945,0.8717784402277717,0.8471130854186636,0.6087321192432165,0.802939211756847,0.8024776423127041,0.8556291390728477,0.7493261455525606,0.4341772258281707
gue_emp_H3,P08,Primitive feature head,Basic motif/position descriptors,ExtraTrees (300),Motif and position,0.9057378635523298,0.9001285232323593,0.8992451123949783,0.6387028865150126,0.8189712758851035,0.8187197658021099,0.847682119205298,0.7897574123989218,0.5433333516120911
gue_emp_H3,P12,Primitive feature head,CKSNAP (gap 0--5),Scaled logistic L2 (C=1),Physicochemical,0.8949919355749894,0.8940200996055052,0.8752501699059035,0.6660964409900596,0.832999331997328,0.8328823119901465,0.8463576158940397,0.8194070080862533,0.4973851549625397
gue_emp_H3,P16,Primitive feature head,CKSNAP (gap 0--5),ExtraTrees (300),Physicochemical,0.9064188400715772,0.9025017404187716,0.9032873250132144,0.6372963543789238,0.8183032732130928,0.8184752146516485,0.7986754966887417,0.8382749326145552,0.5799999833106995
gue_emp_H3,P22,Primitive feature head,Z-curve descriptors,Scaled logistic L2 (C=1),Physicochemical,0.8293584748138544,0.8126827439710108,0.7302852302928429,0.5496596734416835,0.7615230460921844,0.7601417325645741,0.919205298013245,0.601078167115903,0.3409636354446411
gue_emp_H3,P15,Primitive feature head,Z-curve descriptors,ExtraTrees (300),Physicochemical,0.8841120676140601,0.8740847182306636,0.8491362324998447,0.5846873321031939,0.7909151636606546,0.7904410845932774,0.8450331125827815,0.7358490566037735,0.496666669845581
gue_emp_H3,P26,Primitive feature head,EIIP autocorrelation,Scaled logistic L2 (C=1),Physicochemical,0.8013797594760523,0.7806126274075792,0.7510048675397432,0.4357979978484037,0.717434869739479,0.7170712768426126,0.7589403973509934,0.6752021563342318,0.4841362690925598
gue_emp_H3,P25,Primitive feature head,EIIP autocorrelation,ExtraTrees (300),Physicochemical,0.7815293000086153,0.7677335284982416,0.7671776699997703,0.3946474336435713,0.6967267869071476,0.6962978168900947,0.7456953642384105,0.6469002695417789,0.496666669845581
gue_emp_H3,P14,Primitive feature head,Dinucleotide autocorrelation,Scaled logistic L2 (C=1),Physicochemical,0.8932822505501041,0.8917013262883562,0.883133350560521,0.6465710587273904,0.8229792919171677,0.8227512896949358,0.8490066225165563,0.7964959568733153,0.4698107743263245
gue_emp_H3,P13,Primitive feature head,Dinucleotide autocorrelation,ExtraTrees (300),Physicochemical,0.9066757744531444,0.9034326413309296,0.9066496326911913,0.6379077669344788,0.8189712758851035,0.818940218846504,0.8225165562913908,0.8153638814016172,0.5166666507720947
gue_emp_H3,P29,Primitive feature head,Center-context positional descriptors,Scaled logistic L2 (C=1),Motif and position,0.7230086382738176,0.7044331589939488,0.6499512564319032,0.3301774336669173,0.663994655978624,0.6633833740918584,0.7337748344370861,0.5929919137466307,0.4565502245724201
gue_emp_H3,P30,Primitive feature head,Center-context positional descriptors,ExtraTrees (300),Motif and position,0.7275748894319312,0.7218659074275718,0.6875311126007615,0.3342816688452921,0.665998663994656,0.665381731850556,0.7364238410596027,0.5943396226415094,0.4933333396911621
gue_emp_H3,P09,Primitive feature head,DNABERT-2 embedding,Scaled logistic L2 (C=1),DNABERT-2,0.8976209173848383,0.9055264989914495,0.8977764083356272,0.6435154666014519,0.8216432865731463,0.8214848003427286,0.8397350993377484,0.8032345013477089,0.4708234941959385
gue_emp_H3,P07,Primitive feature head,DNABERT-2 embedding,Scaled logistic L2 (C=0.3),DNABERT-2,0.9026195743438298,0.908118384177362,0.90138849883165,0.6638750466787158,0.8316633266533067,0.831813070098713,0.8145695364238411,0.8490566037735849,0.5824341863393784
gue_emp_H3,P03,Primitive feature head,DNABERT-1 mean embedding,Linear head,DNABERT-1,0.914858967894832,0.9138394530622443,0.901781715246438,0.6667721898110516,0.832999331997328,0.8327546812802342,0.8609271523178808,0.8045822102425876,0.4538115496933461
gue_emp_H3,P21,Primitive feature head,DNABERT-1 CLS embedding,Linear head,DNABERT-1,0.7297107681965065,0.7301690437514503,0.7066759336274487,0.3271513914821369,0.6633266533066132,0.6634869066957034,0.6450331125827815,0.6819407008086253,0.5128275096416474
gue_emp_H3,P17,Primitive feature head,Nucleotide Transformer mean embedding,Linear head,Nucleotide Transformer,0.8950708055809775,0.8883026008104103,0.8769169235005321,0.6430493163974862,0.8209752839011356,0.820683315185377,0.8543046357615894,0.7870619946091644,0.4652190309762955
gue_emp_H3,P10,Primitive feature head,Nucleotide Transformer CLS embedding,Linear head,Nucleotide Transformer,0.8930138630255293,0.8856089680655469,0.8722343385209237,0.6219308747693877,0.8102872411489646,0.8099596579853983,0.847682119205298,0.7722371967654986,0.4627187199890614
gue_emp_H3,P04,Primitive feature head,DNAshapeR MGW/HelT/ProT/Roll,Logistic (C=1),DNA shape,0.8918255828877422,0.8888773852662395,0.8738407583269975,0.6341197393830094,0.8169672678690715,0.8170462862140984,0.8079470198675497,0.8261455525606469,0.5686533153057098
gue_emp_H3,P01,Primitive feature head,DNAshapeR MGW/HelT/ProT/Roll,Histogram gradient boosting,DNA shape,0.9119045535225012,0.9148390782028168,0.9173261671883476,0.6710418813035826,0.8350033400133601,0.8352171507113404,0.8105960264900662,0.8598382749326146,0.5897661989927292
gue_emp_H3,P20,Primitive feature head,DNAshapeR EP,Logistic (C=1),DNA shape,0.8795695392473393,0.8767426500776493,0.855058487963833,0.6155361411097954,0.8062792251169004,0.8058121061744703,0.8596026490066225,0.7520215633423181,0.4732083499431611
gue_emp_H3,P02,Primitive feature head,DNAshapeR five-track profile,Logistic (C=0.3),DNA shape,0.8999598301421656,0.8988236554149338,0.8881768496945457,0.6400937022474368,0.8183032732130928,0.8178138555184663,0.8741721854304636,0.761455525606469,0.4510273317992687
gue_emp_H3,D05,Derived evidence channel,Feature-complementarity view-token channel,View-token expert,Deep feature interaction,0.9210806506056086,0.9443672908373646,0.941488924128248,0.7364131089467585,0.8677354709418837,0.8679343460488032,0.8450331125827815,0.8908355795148248,0.5447182077169423
gue_emp_H3,D02,Derived evidence channel,Integrated score-residual evidence channel,Integrated residual predictor,Score-residual evidence,0.9466313658290116,0.9472608486103424,0.9382608301260296,0.7688484569273345,0.8837675350701403,0.8834919048214063,0.91523178807947,0.8517520215633423,0.4227487921714783
gue_emp_H3,D14,Derived evidence channel,DNABERT-1 pooling interaction C,Pooling-interaction neural head,DNABERT-1,0.9029217696046032,0.9105585405472948,0.9004715846298013,0.6590213987507975,0.8289913159652639,0.8287115545955981,0.8609271523178808,0.7964959568733153,0.4034822784364224
gue_emp_H3,D18,Derived evidence channel,Nucleotide Transformer pooling interaction A,Pooling-interaction neural head,Nucleotide Transformer,0.9017878643114592,0.9051784152371432,0.9080851988323132,0.6425144316955116,0.8189712758851035,0.8184180932150444,0.8821192052980132,0.7547169811320755,0.2688953250646602
gue_emp_H3,D17,Derived evidence channel,DNABERT-2 pooling interaction C,Pooling-interaction neural head,DNABERT-2,0.9179009248843296,0.930304707163385,0.9316580856214411,0.7087423266623444,0.85437541750167,0.8543180235982935,0.8609271523178808,0.8477088948787062,0.5034403184056294
gue_emp_H3,D09,Derived evidence channel,Cross-foundation attention interaction A,Cross-attention interaction head,Cross-foundation interaction,0.927329068350592,0.9313150425733208,0.9279123488729818,0.7274676770699747,0.8637274549098196,0.8636591635279627,0.871523178807947,0.8557951482479784,0.4890922643244266
gue_emp_H3,D13,Derived evidence channel,DNABERT-1 pooling interaction B,Pooling-interaction neural head,DNABERT-1,0.9046077318380956,0.912165080951786,0.9011032735908704,0.6481208920627167,0.8183032732130928,0.8174541689723496,0.91523178807947,0.7196765498652291,0.2525765720009815
gue_emp_H3,D19,Derived evidence channel,Nucleotide Transformer pooling interaction B,Pooling-interaction neural head,Nucleotide Transformer,0.9020785622937992,0.9050498920047838,0.9034599942172988,0.6509482771444687,0.824315297261189,0.8239133539208511,0.8701986754966887,0.7776280323450134,0.3701011681556704
gue_emp_H3,D15,Derived evidence channel,DNABERT-2 pooling interaction A,Pooling-interaction neural head,DNABERT-2,0.91719135964299,0.9310240802556184,0.9303312814399134,0.6888679258144264,0.8430193720774883,0.8425956337801896,0.8913907284768212,0.793800539083558,0.3471585315465927
gue_emp_H3,D10,Derived evidence channel,Cross-foundation attention interaction B,Cross-attention interaction head,Cross-foundation interaction,0.927862224294822,0.9318603737884008,0.9268774639558972,0.7181308146933182,0.8583834335337341,0.8586280144945646,0.8304635761589404,0.8867924528301887,0.6714834570884705
gue_emp_H3,D12,Derived evidence channel,DNABERT-1 pooling interaction A,Pooling-interaction neural head,DNABERT-1,0.9021503044285134,0.9146016672319308,0.9063634832231432,0.6380662105303065,0.811623246492986,0.8106576105389051,0.9218543046357616,0.6994609164420486,0.2247405901551252
gue_emp_H3,D20,Derived evidence channel,Nucleotide Transformer pooling interaction C,Pooling-interaction neural head,Nucleotide Transformer,0.8998669912738967,0.9030042305563984,0.9050625491140188,0.6445483650952589,0.8216432865731463,0.8213339640491959,0.856953642384106,0.7857142857142857,0.3996284091472627
gue_emp_H3,D16,Derived evidence channel,DNABERT-2 pooling interaction B,Pooling-interaction neural head,DNABERT-2,0.9172450503885328,0.934603095267846,0.936102981157376,0.7207498944467522,0.8603874415497662,0.8603595080416272,0.8635761589403973,0.8571428571428571,0.4831592272222045
gue_emp_H3,D11,Derived evidence channel,Cross-foundation attention interaction C,Cross-attention interaction head,Cross-foundation interaction,0.9283178563635516,0.9339033576694452,0.93749908467779,0.7287803106145195,0.8643954575818303,0.8643446207672123,0.8701986754966887,0.8584905660377359,0.4884788286685945
gue_emp_H3,D01,Derived evidence channel,Cross-fitted dual meta-evidence channel,Composite predictor,Meta-evidence,0.951889837006107,0.9542475143249852,0.9488827721720804,0.790230388489304,0.895123580494322,0.895098266721408,0.8980132450331125,0.8921832884097035,0.4858333742618561
gue_emp_H3,D08,Derived evidence channel,Local DNABERT-2 cross-feature branch,Composite predictor,Pre-classifier local fusion,0.921402011675056,0.9320353081880008,0.9326723657522424,0.703275324014533,0.8510354041416166,0.8507515039003231,0.8834437086092716,0.8180592991913747,0.2633164972066879
gue_emp_H3,D06,Derived evidence channel,Local DNABERT-2 and DNABERT-1 interaction branch,Composite predictor,Pre-classifier local fusion,0.9266930547964264,0.9402474072222916,0.9389224839284688,0.7261307503266045,0.8617234468937875,0.8613243248067688,0.9072847682119204,0.8153638814016172,0.3206360325217249
gue_emp_H3,D03,Derived evidence channel,Local three-foundation interaction branch,Composite predictor,Pre-classifier local fusion,0.923108276204438,0.9389657449884864,0.9380704671381446,0.7482832051330249,0.87374749498998,0.8735233216115386,0.8993377483443709,0.8477088948787062,0.4443274402618413
gue_emp_H3,D07,Derived evidence channel,Local DNABERT-2 and Nucleotide Transformer interaction branch,Composite predictor,Pre-classifier local fusion,0.9239641283147472,0.9319255279270274,0.9246901039152672,0.7078509924013829,0.8523714094856379,0.8519367737098589,0.9019867549668874,0.8018867924528302,0.331783046424389
gue_emp_H3,D04,Derived evidence channel,Mean-pooled three-foundation interaction branch,Composite predictor,Pre-classifier local fusion,0.928880472704534,0.9393477445957764,0.9357434756973064,0.7453685197014156,0.8724114896459586,0.8725585048463969,0.8556291390728477,0.889487870619946,0.5733579891920092
gue_emp_H3,E05,Standalone sequence expert,"RC multiscale motif grammar, initialization 1",Neural expert,RC motif grammar,0.8816089490048697,0.9198113207547168,0.9085820101879098,0.6853642852610048,0.8396793587174348,0.83907552524946,0.9086092715231788,0.7695417789757413,0.2135009765625
gue_emp_H3,E04,Standalone sequence expert,"RC multiscale motif grammar, initialization 2",Neural expert,RC motif grammar,0.8798340318205827,0.9200844326234804,0.9055643828421336,0.6913897895139375,0.8450233800935204,0.8447216222487995,0.8794701986754967,0.8099730458221024,0.438720703125
gue_emp_H3,E03,Standalone sequence expert,"RC multiscale motif grammar, initialization 3",Neural expert,RC motif grammar,0.8813599038306725,0.9214589171917672,0.9094779610790732,0.6931374036861581,0.8463593854375417,0.846487031648846,0.8317880794701987,0.8611859838274932,0.59375
gue_emp_H3,E02,Standalone sequence expert,RC motif and biophysical grammar,Neural expert,RC biophysical grammar,0.899468238735227,0.9318050373966904,0.9220461379867024,0.7245345591765198,0.8617234468937875,0.8619392727727102,0.8370860927152318,0.8867924528301887,0.619140625
gue_emp_H3,E01,Standalone sequence expert,Position-aware RC biophysical grammar,Neural expert,Position-aware biophysical grammar,0.9160024285076718,0.924414059013584,0.9041636487108312,0.7094029724731705,0.8537074148296593,0.8533540993555988,0.8940397350993378,0.8126684636118598,0.55419921875
gue_human_tf_0,P23,Primitive feature head,1--3-mer composition,Logistic L2 (C=1),Composition and FCGR,0.8106875111994902,0.8692759999999999,0.8266858020800103,0.5802046092418092,0.779,0.779,0.916,0.642,0.4614635945856571
gue_human_tf_0,P24,Primitive feature head,1--3-mer composition,Logistic L2 (C=0.3),Composition and FCGR,0.8051042072793766,0.866296,0.8199777255852916,0.5836775979471699,0.781,0.781,0.916,0.646,0.4782147566974163
gue_human_tf_0,P18,Primitive feature head,4--6-mer composition,Logistic L2 (C=1),Composition and FCGR,0.8187563609936153,0.8709000000000001,0.8230025103554155,0.5893274545168681,0.785,0.785,0.912,0.658,0.4840819254517555
gue_human_tf_0,P19,Primitive feature head,4--6-mer composition,Logistic L2 (C=0.3),Composition and FCGR,0.8092932622900809,0.859472,0.807476490840002,0.5892266829278254,0.783,0.783,0.922,0.644,0.4890297822654247
gue_human_tf_0,P06,Primitive feature head,Order-4 FCGR,Scaled logistic L2 (C=1),Composition and FCGR,0.8446679813242238,0.8853040000000001,0.8569479814072891,0.6272350964605355,0.803,0.803,0.932,0.674,0.3955974465608597
gue_human_tf_0,P05,Primitive feature head,Order-4 FCGR,ExtraTrees (300),Composition and FCGR,0.8620957174980348,0.902688,0.8807311505278054,0.6565093303360818,0.818,0.818,0.942,0.694,0.496666669845581
gue_human_tf_0,P11,Primitive feature head,Basic motif/position descriptors,Scaled logistic L2 (C=1),Motif and position,0.8230821409359993,0.8743040000000001,0.8590416408555825,0.5810388497065079,0.785,0.7849999999999999,0.882,0.688,0.460908533334732
gue_human_tf_0,P08,Primitive feature head,Basic motif/position descriptors,ExtraTrees (300),Motif and position,0.8421423327973304,0.8925559999999999,0.879347565470728,0.6180484476702086,0.802,0.802,0.908,0.696,0.4833333194255829
gue_human_tf_0,P12,Primitive feature head,CKSNAP (gap 0--5),Scaled logistic L2 (C=1),Physicochemical,0.8367830070136361,0.8813240000000001,0.8582260158522255,0.5990838290578647,0.797,0.7969999999999999,0.862,0.732,0.5052844285964966
gue_human_tf_0,P16,Primitive feature head,CKSNAP (gap 0--5),ExtraTrees (300),Physicochemical,0.8625532959661126,0.90428,0.8906743064496172,0.6351987345833894,0.808,0.808,0.93,0.686,0.4833333194255829
gue_human_tf_0,P22,Primitive feature head,Z-curve descriptors,Scaled logistic L2 (C=1),Physicochemical,0.5258222811201101,0.492232,0.4874472357224717,0.0025542221739099,0.501,0.501,0.812,0.19,0.4681513082981109
gue_human_tf_0,P15,Primitive feature head,Z-curve descriptors,ExtraTrees (300),Physicochemical,0.7065304503469934,0.758972,0.7201416817999622,0.3638615420882386,0.659,0.659,0.902,0.416,0.4600000083446502
gue_human_tf_0,P26,Primitive feature head,EIIP autocorrelation,Scaled logistic L2 (C=1),Physicochemical,0.6922491702211973,0.80832,0.7714026700832566,0.4631264679351252,0.73,0.73,0.788,0.672,0.5104171967506408
gue_human_tf_0,P25,Primitive feature head,EIIP autocorrelation,ExtraTrees (300),Physicochemical,0.7144504235975779,0.823926,0.7962989142539969,0.4637490725027824,0.71,0.71,0.922,0.498,0.4633333384990692
gue_human_tf_0,P14,Primitive feature head,Dinucleotide autocorrelation,Scaled logistic L2 (C=1),Physicochemical,0.833658538399817,0.879208,0.8626702988402388,0.5870913228468525,0.787,0.787,0.892,0.682,0.4431512300670147
gue_human_tf_0,P13,Primitive feature head,Dinucleotide autocorrelation,ExtraTrees (300),Physicochemical,0.8484604044206505,0.8821619999999999,0.8616338508310055,0.5997980003478215,0.792,0.792,0.906,0.678,0.4933333396911621
gue_human_tf_0,P29,Primitive feature head,Center-context positional descriptors,Scaled logistic L2 (C=1),Motif and position,0.7279439636811533,0.766624,0.7303138904477333,0.4052736180361248,0.691,0.6910000000000001,0.858,0.524,0.4272435869276523
gue_human_tf_0,P30,Primitive feature head,Center-context positional descriptors,ExtraTrees (300),Motif and position,0.7446014772345988,0.774044,0.7286100463441585,0.4288478566698621,0.704,0.704,0.858,0.55,0.4666666686534881
gue_human_tf_0,P09,Primitive feature head,DNABERT-2 embedding,Scaled logistic L2 (C=1),DNABERT-2,0.8455318192873751,0.889252,0.8748497432643074,0.6210860819558723,0.801,0.801,0.924,0.678,0.4369778168201445
gue_human_tf_0,P07,Primitive feature head,DNABERT-2 embedding,Scaled logistic L2 (C=0.3),DNABERT-2,0.8458537499351803,0.8894960000000001,0.875088641314471,0.6172273008945254,0.798,0.798,0.928,0.668,0.4224494132399559
gue_human_tf_0,P03,Primitive feature head,DNABERT-1 mean embedding,Linear head,DNABERT-1,0.8774743659063993,0.913124,0.8993856342582089,0.6661342411738336,0.827,0.827,0.922,0.732,0.490538779348135
gue_human_tf_0,P21,Primitive feature head,DNABERT-1 CLS embedding,Linear head,DNABERT-1,0.8431398492620644,0.877848,0.8536036259518224,0.5863660431948817,0.786,0.786,0.896,0.676,0.4741858214139938
gue_human_tf_0,P17,Primitive feature head,Nucleotide Transformer mean embedding,Linear head,Nucleotide Transformer,0.8132811487936024,0.8569680000000001,0.8308681890215293,0.5568300595373868,0.77,0.77,0.892,0.648,0.4360046264529228
gue_human_tf_0,P10,Primitive feature head,Nucleotide Transformer CLS embedding,Linear head,Nucleotide Transformer,0.8149874099499409,0.864548,0.8476281582849692,0.5490479948334214,0.761,0.761,0.916,0.606,0.4300606307387352
gue_human_tf_0,P04,Primitive feature head,DNAshapeR MGW/HelT/ProT/Roll,Logistic (C=1),DNA shape,0.8224435538959136,0.873928,0.8471266263199602,0.5751663954366241,0.778,0.778,0.906,0.65,0.4046483695507049
gue_human_tf_0,P01,Primitive feature head,DNAshapeR MGW/HelT/ProT/Roll,Histogram gradient boosting,DNA shape,0.844500765163787,0.8954479999999999,0.8869250641603532,0.6314711234406418,0.808,0.808,0.918,0.698,0.4881608784198761
gue_human_tf_0,P20,Primitive feature head,DNAshapeR EP,Logistic (C=1),DNA shape,0.7635544588119977,0.7830919999999999,0.7538374362943583,0.4392397579858085,0.717,0.7170000000000001,0.794,0.64,0.4822543549537658
gue_human_tf_0,P02,Primitive feature head,DNAshapeR five-track profile,Logistic (C=0.3),DNA shape,0.838239771469129,0.8866279999999999,0.8661831529204254,0.6088025774475799,0.798,0.798,0.9,0.696,0.4631607317924499
gue_human_tf_0,D05,Derived evidence channel,Feature-complementarity view-token channel,View-token expert,Deep feature interaction,0.8336496989055339,0.897772,0.8817546572228862,0.6200531887260711,0.789,0.7889999999999999,0.97,0.608,0.182195937037468
gue_human_tf_0,D02,Derived evidence channel,Integrated score-residual evidence channel,Integrated residual predictor,Score-residual evidence,0.8807834047406136,0.9106,0.8921379373176316,0.6727433839925909,0.831,0.831,0.92,0.742,0.4752141767740249
gue_human_tf_0,D14,Derived evidence channel,DNABERT-1 pooling interaction C,Pooling-interaction neural head,DNABERT-1,0.8134889900059536,0.882168,0.8692783741701579,0.5099959207940109,0.722,0.722,0.968,0.476,0.1568532846868039
gue_human_tf_0,D18,Derived evidence channel,Nucleotide Transformer pooling interaction A,Pooling-interaction neural head,Nucleotide Transformer,0.77273705436764,0.8502320000000001,0.835868529556197,0.4779723615198376,0.705,0.705,0.962,0.448,0.0998611922934651
gue_human_tf_0,D17,Derived evidence channel,DNABERT-2 pooling interaction C,Pooling-interaction neural head,DNABERT-2,0.7953364081201835,0.876392,0.8639391969698892,0.584917871398591,0.792,0.792,0.82,0.764,0.5745941308140754
gue_human_tf_0,D09,Derived evidence channel,Cross-foundation attention interaction A,Cross-attention interaction head,Cross-foundation interaction,0.7956747359939802,0.890384,0.8768487901673412,0.5573160356048801,0.748,0.748,0.976,0.52,0.1333243038505315
gue_human_tf_0,D13,Derived evidence channel,DNABERT-1 pooling interaction B,Pooling-interaction neural head,DNABERT-1,0.8194543507278174,0.879616,0.8629086802115589,0.5427385042898359,0.745,0.745,0.96,0.53,0.2166797528415918
gue_human_tf_0,D19,Derived evidence channel,Nucleotide Transformer pooling interaction B,Pooling-interaction neural head,Nucleotide Transformer,0.7731713941571037,0.841712,0.8254838239217639,0.4665694748158434,0.692,0.692,0.976,0.408,0.0528277862817049
gue_human_tf_0,D15,Derived evidence channel,DNABERT-2 pooling interaction A,Pooling-interaction neural head,DNABERT-2,0.7931117781231212,0.881604,0.8552663443935977,0.5920190592647204,0.782,0.782,0.934,0.63,0.2877228799462319
gue_human_tf_0,D10,Derived evidence channel,Cross-foundation attention interaction B,Cross-attention interaction head,Cross-foundation interaction,0.7976300217173306,0.8829880000000001,0.8658487374262246,0.5594435621549695,0.746,0.746,0.984,0.508,0.1440574720501903
gue_human_tf_0,D12,Derived evidence channel,DNABERT-1 pooling interaction A,Pooling-interaction neural head,DNABERT-1,0.821861328505404,0.882004,0.8577156362034365,0.5809965560720094,0.767,0.7669999999999999,0.964,0.57,0.2581152755022048
gue_human_tf_0,D20,Derived evidence channel,Nucleotide Transformer pooling interaction C,Pooling-interaction neural head,Nucleotide Transformer,0.769719047445325,0.848204,0.8375249604154943,0.4467420250289598,0.681,0.681,0.974,0.388,0.0520799405872822
gue_human_tf_0,D16,Derived evidence channel,DNABERT-2 pooling interaction B,Pooling-interaction neural head,DNABERT-2,0.7970584363923401,0.8819559999999999,0.8606337938265074,0.5835123123402621,0.777,0.777,0.934,0.62,0.310372393578291
gue_human_tf_0,D11,Derived evidence channel,Cross-foundation attention interaction C,Cross-attention interaction head,Cross-foundation interaction,0.7979503600354386,0.8923599999999999,0.8648765173318888,0.5773951319648505,0.762,0.762,0.972,0.552,0.156564290076494
gue_human_tf_0,D01,Derived evidence channel,Cross-fitted dual meta-evidence channel,Composite predictor,Meta-evidence,0.8910009643342527,0.920524,0.9063299424669315,0.6992882000059332,0.846,0.8460000000000001,0.918,0.774,0.5356780290603638
gue_human_tf_0,D08,Derived evidence channel,Local DNABERT-2 cross-feature branch,Composite predictor,Pre-classifier local fusion,0.827138578399857,0.8955000000000001,0.8843141794346339,0.5495997344315819,0.744,0.744,0.974,0.514,0.207344873920083
gue_human_tf_0,D06,Derived evidence channel,Local DNABERT-2 and DNABERT-1 interaction branch,Composite predictor,Pre-classifier local fusion,0.838414238384523,0.8962359999999999,0.884698858435931,0.6332785063987776,0.808,0.808,0.924,0.692,0.3817489123344422
gue_human_tf_0,D03,Derived evidence channel,Local three-foundation interaction branch,Composite predictor,Pre-classifier local fusion,0.8373836402380976,0.900278,0.8877060242044003,0.618893881842773,0.794,0.794,0.95,0.638,0.2901968467235565
gue_human_tf_0,D07,Derived evidence channel,Local DNABERT-2 and Nucleotide Transformer interaction branch,Composite predictor,Pre-classifier local fusion,0.8292403135757102,0.8917440000000001,0.878663059309234,0.5551361100027009,0.745,0.745,0.98,0.51,0.0832203103601933
gue_human_tf_0,D04,Derived evidence channel,Mean-pooled three-foundation interaction branch,Composite predictor,Pre-classifier local fusion,0.8410162541101989,0.891144,0.8784602215932148,0.5646633576600422,0.757,0.757,0.964,0.55,0.2094494330883024
