task_id,model,seed,best_epoch,validation_loss,auc,auprc,accuracy,balanced_accuracy,mcc,sensitivity,specificity,threshold
ipromoter_hs_tata,iPromoter-SeqVec,1,12,0.0919557541744894,0.9960720215857204,0.99621972853259,0.9612756264236902,0.9613013698630136,0.9227942901775312,0.95,0.9726027397260274,0.5
ipromoter_hs_tata,iPromoter-SeqVec,2,8,0.1051274671402151,0.9943493150684932,0.9946878623315192,0.9533029612756264,0.9533156911581568,0.9066666673532928,0.9477272727272728,0.958904109589041,0.5
ipromoter_hs_tata,iPromoter-SeqVec,3,10,0.1012597410646203,0.994774802822748,0.9949135296466386,0.9646924829157176,0.9647000830220008,0.9294073999404596,0.9613636363636364,0.9680365296803652,0.5
ipromoter_hs_notata,iPromoter-SeqVec,1,11,0.3482557425349261,0.92444935108859,0.9303477472677614,0.851299202469771,0.8513096206076407,0.7031856941501607,0.8310619696580098,0.8715572715572716,0.5
ipromoter_hs_notata,iPromoter-SeqVec,2,7,0.3541799980650473,0.9203517957953546,0.9253656401605092,0.8461538461538461,0.8461519521946367,0.692324433264045,0.8498328619182309,0.8424710424710424,0.5
ipromoter_hs_notata,iPromoter-SeqVec,3,6,0.3532784383933813,0.9214480137853756,0.927042076248144,0.8452534087985593,0.8452632296551041,0.6910207036540381,0.826176394960144,0.8643500643500643,0.5
ipromoter_mm_tata,iPromoter-SeqVec,1,11,0.0712752258568479,0.9964894636015326,0.9964368035440304,0.9693654266958424,0.9694588122605364,0.9388097215586386,0.9633620689655172,0.9755555555555556,0.5
ipromoter_mm_tata,iPromoter-SeqVec,2,11,0.0792267097715745,0.9952634099616858,0.9952413592172248,0.9671772428884028,0.9673706896551724,0.9346876631720762,0.9547413793103448,0.98,0.5
ipromoter_mm_tata,iPromoter-SeqVec,3,10,0.0708959452285055,0.996704980842912,0.9966756933473584,0.9693654266958424,0.9695258620689656,0.9389617895762022,0.959051724137931,0.98,0.5
ipromoter_mm_notata,iPromoter-SeqVec,1,7,0.2632367475529527,0.955543396021174,0.959297869522494,0.8889407372841811,0.8889389120175964,0.777884222994228,0.8906152889993785,0.8872625350358144,0.5
ipromoter_mm_notata,iPromoter-SeqVec,2,5,0.27224722616368696,0.955173416272799,0.9577532156405402,0.8862964691242806,0.8863212302954089,0.773413039156271,0.8635798632691113,0.9090625973217066,0.5
ipromoter_mm_notata,iPromoter-SeqVec,3,10,0.2727228961206807,0.9574534418762104,0.9603058967161207,0.891118369886452,0.8911355155589888,0.7826380853766888,0.8753884400248602,0.9068825910931174,0.5
