task_id,model,n_seeds,auc_mean,auc_sd,auprc_mean,auprc_sd,mcc_mean,mcc_sd
ipromoter_hs_notata,iPromoter-SeqVec,3,0.9220830535564400,0.0021213077283614,0.9275851545588049,0.0025350637754632,0.6955102770227479,0.0066789930965557
ipromoter_hs_tata,iPromoter-SeqVec,3,0.9950653798256539,0.0008973603969908,0.9952737068369159,0.0008270122252983,0.9196227858237612,0.0116973954173459
ipromoter_mm_notata,iPromoter-SeqVec,3,0.9560567513900611,0.0012236337234348,0.9591189939597182,0.0012857070111909,0.7779784491757292,0.0046132448853460
ipromoter_mm_tata,iPromoter-SeqVec,3,0.9961526181353767,0.0007775797724042,0.9961179520362045,0.0007684909317934,0.9374863914356389,0.0024249620802067
snnrice6ma_rice_chen,SNNRice6mA,3,0.8487316776790461,0.0177139477181683,0.8704114384506108,0.0181469888815685,0.5611276329062860,0.0234893328719954
snnrice6ma_rice_chen,SNNRice6mA-feature,3,0.8612440191387559,0.0114022226762475,0.8701070052196723,0.0112110453470936,0.5844499058433359,0.0155555985454471
