condition,replicates,mean_auc,mean_auprc,mean_mcc,mean_accuracy,auc_difference_vs_complete,auc_difference_ci95_low,auc_difference_ci95_high,auc_decrease_wins,auc_ties,auc_increases,wilcoxon_one_sided_decrease_p
without_strongest,1,0.9307468852705423,0.9360278621371995,0.652689200381421,0.8148322614309823,0.0009453976450091494,-0.00010411812951993587,0.0021077504176386743,4,0,6,0.8388671875
without_foundation,1,0.9301115301128704,0.935658868599873,0.6751379521709816,0.8300396357570907,0.0003100424873371477,-0.0003120940217333815,0.0011704042561105237,8,0,2,0.2158203125
complete,1,0.9298014876255334,0.9354937977008916,0.6664218364930173,0.8255179902520483,0.0,0.0,0.0,0,10,0,1.0
without_local_derived,1,0.929479976329256,0.9347913605138272,0.6480994557456232,0.8126918371471611,-0.0003215112962770883,-0.0017310381060295268,0.001153620714280623,6,0,4,0.384765625
without_engineered,1,0.928359142713761,0.934224948684267,0.6957553731439302,0.8449219773866901,-0.001442344911772253,-0.0038067155464771908,0.0011753188963198379,8,0,2,0.1376953125
without_sequence_grammar,1,0.9243875638918032,0.9294042076257737,0.657995794366594,0.8223366524528416,-0.005413923733730097,-0.0116395808686265,-0.0013020725668933535,9,0,1,0.001953125
