task_id,stage,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,foundation_local_bank,48,0.9539815426357972,0.9497422493909732,0.7803072959714313,0.8897795591182365,0.8895681976401706,0.9139072847682119,0.8652291105121294,0.4144485950469971
gue_emp_H3,plus_rc_motif_experts,51,0.9547687474339979,0.9505615524024442,0.7856597520842853,0.8924515698062793,0.8922404098463077,0.9165562913907285,0.8679245283018868,0.4124385838210588
gue_emp_H3,plus_biophysical_grammar,52,0.9550704200210636,0.9512673829362397,0.7867046286861847,0.8931195724782899,0.8929490726691776,0.9125827814569536,0.8733153638814016,0.4288216981291773
gue_emp_H3,plus_positional_biophysical_grammar,53,0.9552417843308759,0.951704803825195,0.7866335907339573,0.8931195724782899,0.8929606754609878,0.9112582781456954,0.8746630727762803,0.4303330028057099
gue_emp_H3,complete_mucff,53,0.9557487370807376,0.9528777505693167,0.7875763263555277,0.8937875751503006,0.8937389550347191,0.8993377483443709,0.8881401617250674,0.4908495913445951
gue_human_tf_0,foundation_local_bank,48,0.9214559999999999,0.90765499707187,0.692626895610225,0.843,0.843,0.912,0.774,0.5069041800498963
gue_human_tf_0,plus_rc_motif_experts,51,0.9237279999999999,0.9095333173344715,0.6838027543791789,0.839,0.839,0.904,0.774,0.5100216239690781
gue_human_tf_0,plus_biophysical_grammar,52,0.9238120000000001,0.909287362637618,0.6879941525030621,0.84,0.8400000000000001,0.916,0.764,0.5007321989536285
gue_human_tf_0,plus_positional_biophysical_grammar,53,0.923892,0.9096866078730428,0.6871618150347321,0.84,0.8400000000000001,0.912,0.768,0.5079689371585847
gue_human_tf_0,complete_mucff,53,0.923996,0.9097714150340177,0.6861856127059405,0.839,0.839,0.916,0.762,0.4947865843772889
gue_mouse_0,foundation_local_bank,44,0.8680140222527054,0.8752821826627502,0.5908607886843116,0.7925925925925926,0.7925925925925925,0.7234567901234568,0.8617283950617284,0.5603134074807168
gue_mouse_0,plus_rc_motif_experts,47,0.8946745922877611,0.9060581491173716,0.655478956629278,0.8222222222222222,0.8222222222222222,0.7308641975308642,0.9135802469135802,0.5855174541473389
gue_mouse_0,plus_biophysical_grammar,48,0.8991982929431488,0.9115292924698994,0.6709736181319383,0.8308641975308642,0.8308641975308642,0.7481481481481481,0.9135802469135802,0.550887268781662
gue_mouse_0,plus_positional_biophysical_grammar,49,0.8993629019966469,0.9116703658186376,0.6624348904908103,0.8246913580246914,0.8246913580246914,0.725925925925926,0.9234567901234568,0.588956418633461
gue_mouse_0,complete_mucff,49,0.8994238683127572,0.9115595742621867,0.6665347970843922,0.828395061728395,0.828395061728395,0.7432098765432099,0.9135802469135802,0.5579126328229905
gue_prom_300_all,foundation_local_bank,48,0.9849879012007487,0.9853925052608347,0.868089180874217,0.9339527027027027,0.9338754965073277,0.9453020134228188,0.9224489795918367,0.44924886524677327
gue_prom_300_all,plus_rc_motif_experts,51,0.9860778203899009,0.986302133207887,0.8744110145041079,0.9371621621621622,0.9371067890243345,0.9453020134228188,0.9289115646258503,0.49347332492470797
gue_prom_300_all,plus_biophysical_grammar,52,0.9861758663196822,0.9864173549272243,0.8756066731397971,0.9376689189189189,0.9375781856366707,0.951006711409396,0.9241496598639456,0.4613035693764688
gue_prom_300_all,plus_positional_biophysical_grammar,53,0.9868563667077571,0.9873834393327826,0.8788805035300586,0.9393581081081082,0.9392857142857143,0.95,0.9285714285714286,0.45735807716846544
gue_prom_300_all,complete_mucff,53,0.986897456969365,0.9874153098237508,0.8789440097361544,0.9393581081081082,0.9392743003241565,0.9516778523489933,0.9268707482993197,0.45900312811136407
gue_prom_core_all,foundation_local_bank,48,0.9153079437212835,0.9160311932249137,0.6733125957886439,0.8366554054054054,0.8366473641151506,0.839622641509434,0.8336720867208672,0.47982203960418707
gue_prom_core_all,plus_rc_motif_experts,51,0.924047963736039,0.9248128653937703,0.692285712159057,0.8461148648648649,0.8461297197203779,0.840633423180593,0.8516260162601627,0.4858504980802538
gue_prom_core_all,plus_biophysical_grammar,52,0.9245836004097912,0.9253321933471895,0.6953728284333288,0.8476351351351351,0.8476559361280944,0.8399595687331537,0.8553523035230353,0.48600077256560326
gue_prom_core_all,plus_positional_biophysical_grammar,53,0.925203354754235,0.9260557408595942,0.6956204932305072,0.847804054054054,0.8477924418732058,0.852088948787062,0.8434959349593496,0.46099806204438226
gue_prom_core_all,complete_mucff,53,0.9251652335846134,0.9259987850270854,0.6939161987933751,0.8469594594594595,0.8469565153872562,0.8480458221024259,0.8458672086720868,0.4753526747226716
ipromoter_hs_notata,foundation_local_bank,48,0.9170394800633938,0.9206834300092728,0.6779070990453014,0.8383071777720608,0.8383229535968029,0.8076626382103369,0.8689832689832689,0.5262065577507019
ipromoter_hs_notata,plus_rc_motif_experts,51,0.9268674838744266,0.9306672212477578,0.6922990691456756,0.8451247748906612,0.8451444575383892,0.8068912316790949,0.8833976833976834,0.5529644703865053
ipromoter_hs_notata,plus_biophysical_grammar,52,0.9272614273899951,0.9310232682208418,0.6944462549791725,0.8469256496012348,0.8469361989547127,0.826433530470558,0.8674388674388674,0.5200862282514572
