reference_method,comparison_method,task_count,mean_auc_difference,ci95_low,ci95_high,wins,ties,losses,wilcoxon_one_sided_p
mucff,anchor_query_qkv,10,0.0037831563051167,0.0003280601309011,0.0085333385859405,9,0,1,0.0068359375
mucff,source_self_attention,10,0.0032936024174688,0.0003986263943394,0.0073399262816677,8,0,2,0.0068359375
mucff,sparse_aligned_control,10,0.0002453203231477,9.675410077324698e-05,0.0004143547299963,9,0,1,0.001953125
