decision_control,mean_auc,mean_auprc,mean_mcc,mean_accuracy
Sparse aligned-evidence decision,0.9437047744222296,0.9448023897789474,0.7492012911297364,0.8727738056823660
Logistic L2 (C=0.10),0.9435262731613566,0.9446614485664954,0.7548019992876921,0.8759716812270109
XGBoost,0.9428785894033546,0.9441722902754346,0.7524480841626204,0.8746624934679798
Histogram GB,0.9419278292403772,0.9426644672663622,0.7521471529834401,0.8734771970681126
LightGBM,0.9416330054727482,0.9425682931999620,0.7478788276158854,0.8719031638684009
MLP,0.9396064300341684,0.9414154681130884,0.7475119061563766,0.8727866789756356
