metric,baseline_method,aligned_mean,selected_mean,mean_gain,ci95_low,ci95_high,wins,ties,losses,wilcoxon_one_sided_p
auc,aligned_logistic_l2,0.9246269158180654,0.9298014876255334,0.005174571807467632,0.000422009137447332,0.011730292854723512,7,0,3,0.0244140625
auprc,aligned_logistic_l2,0.928842572306898,0.9354937977008916,0.006651225393993621,0.0004967560892024883,0.015318610432837753,8,0,2,0.0185546875
mcc,aligned_logistic_l2,0.6533006245037257,0.6664218364930173,0.013121211989291443,-0.008487756278476427,0.04042583329205384,5,0,5,0.4609375
accuracy,aligned_logistic_l2,0.8170350678737888,0.8255179902520483,0.008482922378259728,-0.0056241476935732105,0.026499617963996972,5,0,5,0.5390625
balanced_accuracy,aligned_logistic_l2,0.8169937133181205,0.82550181274614,0.008508099428019366,-0.0056163663101536105,0.026530888950620658,5,0,5,0.5390625
sensitivity,aligned_logistic_l2,0.8932054958191686,0.8883364150284973,-0.00486908079067141,-0.016878624523130107,0.008596180867048324,2,2,6,0.80859375
specificity,aligned_logistic_l2,0.7407819308170724,0.7626672104637826,0.021885279646710182,-0.013536063952841768,0.06460649165969637,6,0,4,0.3125
