run_task_id,evaluation_task,source,source_family,oof_auc,test_auc,oof_selected,oof_selected_individual_channel,oof_selected_standalone_source
gue_emp_H3,gue_emp_H3,rc_multiscale_biophysical_position_seed4,sequence_grammar_position,0.9158140905580161,0.9195524892451046,False,False,False
gue_human_tf_0,gue_human_tf_0,kmer13__logreg_l2_c1,composition,0.8117275990189263,0.869312,False,False,False
gue_human_tf_0,gue_human_tf_0,kmer13__logreg_l2_c03,composition,0.8060746281741304,0.866252,False,False,False
gue_human_tf_0,gue_human_tf_0,kmer46__logreg_l2_c1,composition,0.8203967734976852,0.871372,False,False,False
gue_human_tf_0,gue_human_tf_0,kmer46__logreg_l2_c03,composition,0.8106046646245079,0.859952,False,False,False
gue_human_tf_0,gue_human_tf_0,fcgr4__scaled_logreg_l2_c1,composition,0.8449561702931301,0.884844,False,False,False
gue_human_tf_0,gue_human_tf_0,fcgr4__extratrees_300,composition,0.8628085292320193,0.903266,False,False,False
gue_human_tf_0,gue_human_tf_0,basicpos__scaled_logreg_l2_c1,motif_position,0.8233826566343193,0.874,False,False,False
gue_human_tf_0,gue_human_tf_0,basicpos__extratrees_300,motif_position,0.8437856270136145,0.891844,False,False,False
gue_human_tf_0,gue_human_tf_0,cksnap5__scaled_logreg_l2_c1,physicochemical,0.8365307559769746,0.881284,False,False,False
gue_human_tf_0,gue_human_tf_0,cksnap5__extratrees_300,physicochemical,0.8651856443943393,0.905124,False,False,False
gue_human_tf_0,gue_human_tf_0,zcurve12__scaled_logreg_l2_c1,physicochemical,0.528849194862497,0.49113,False,False,False
gue_human_tf_0,gue_human_tf_0,zcurve12__extratrees_300,physicochemical,0.7074457056865769,0.754542,False,False,False
gue_human_tf_0,gue_human_tf_0,eiip_auto__scaled_logreg_l2_c1,physicochemical,0.6927769054855784,0.808012,False,False,False
gue_human_tf_0,gue_human_tf_0,eiip_auto__extratrees_300,physicochemical,0.7133276322480393,0.827234,False,False,False
gue_human_tf_0,gue_human_tf_0,dinuc_auto__scaled_logreg_l2_c1,physicochemical,0.8337217878770757,0.8787200000000002,False,False,False
gue_human_tf_0,gue_human_tf_0,dinuc_auto__extratrees_300,physicochemical,0.8494425336279937,0.879796,False,False,False
gue_human_tf_0,gue_human_tf_0,center_context__scaled_logreg_l2_c1,motif_position,0.7282872635001207,0.766588,False,False,False
