task_id,task_label,base_auc,aligned_auc,mucff_auc,evidence_gain,residual_gain
gue_emp_H3,GUE EMP-H3,0.951193302511558,0.955238214241088,0.956355652344656,0.00404491172953,0.001117438103568
gue_human_tf_0,GUE human-TF,0.91926,0.923896,0.924844,0.004636,0.000948
gue_mouse_0,GUE mouse,0.867300716354214,0.899429964944368,0.899887212315196,0.032129248590154,0.000457247370828
gue_prom_300_all,GUE promoter-300,0.978896726475825,0.986856823266219,0.98688364607588,0.007960096790394,2.6822809661e-05
gue_prom_core_all,GUE promoter-core,0.907207309311974,0.925202498739947,0.925362345141308,0.017995189427973,0.000159846401361
ipromoter_hs_notata,Human non-TATA,0.890903789952389,0.930445737954095,0.93052006567049,0.039541948001706,7.4327716395e-05
ipromoter_hs_tata,Human TATA,0.968249273557493,0.987806143628061,0.988937318389373,0.019556870070569,0.001131174761312
ipromoter_mm_notata,Mouse non-TATA,0.925050406474481,0.953396681195525,0.953590913305122,0.028346274721044,0.000194232109597
ipromoter_mm_tata,Mouse TATA,0.97742337164751,0.9902969348659,0.991551724137931,0.012873563218391,0.001254789272031
snnrice6ma_rice_chen,Rice 6mA,0.886192754613807,0.884654818865345,0.885509227614491,-0.001537935748462,0.000854408749146
