evidence_state,mean_oof_auc,mean_test_auc,gain_vs_original
Base evidence bank,0.9217514975869604,0.9271677650899252,0.0
+ cross-fitted meta-evidence channel,0.923733910231497,0.9301378039620284,0.0029700388721032
+ local DNABERT-2 branch,0.9240744105765484,0.9303839327293572,0.0032161676394319
+ DNABERT-2/DNABERT-1 local branch,0.925550188002988,0.9320047604367506,0.0048369953468254
+ DNABERT-2/NT local branch (parallel alternative),0.9249854455203058,0.9314331679581932,0.0042654028682681
+ three-foundation local branch,0.9269816701142762,0.933329236804484,0.0061614717145589
+ complete local-foundation bank,0.9287415847091822,0.9343283405401196,0.0071605754501943
