run_task_id,evaluation_task,stage,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,oof_auc,threshold,n_test
gue_emp_H3,gue_emp_H3,base_evidence,28,0.9465004194855502,0.9399540214119408,0.7623041827161188,0.8810955243820975,0.8811561735777655,0.8741721854304636,0.8881401617250674,0.9475689087590068,0.5214732557535172,1497
gue_emp_H3,gue_emp_H3,foundation_interactions,33,0.9485550061584049,0.9427926123712825,0.7622387238671908,0.8810955243820975,0.8811329679941451,0.8768211920529801,0.8854447439353099,0.9501365395547101,0.5207964569330218,1497
gue_emp_H3,gue_emp_H3,local_foundation_fusion,39,0.9514717695150033,0.9478091631495602,0.7573530895218066,0.8784235136940548,0.878240302743614,0.8993377483443709,0.8571428571428571,0.9525844328706129,0.46273688673973096,1497
gue_emp_H3,gue_emp_H3,rc_grammar_1,40,0.9520090680280608,0.948581327988391,0.7638776644032984,0.8810955243820975,0.8807848842398387,0.9165562913907285,0.8450134770889488,0.9527805548455759,0.4283928126096726,1497
gue_emp_H3,gue_emp_H3,rc_grammar_2,41,0.9521768622480856,0.9490217873385091,0.767333436361709,0.8830995323981295,0.8828412559575873,0.9125827814569536,0.8530997304582211,0.9527754569591736,0.44653791189193726,1497
gue_emp_H3,gue_emp_H3,rc_grammar_3,42,0.9523446564681102,0.9494508769630782,0.7603686050013134,0.8790915163660654,0.8787401153139001,0.919205298013245,0.8382749326145552,0.9529179603426339,0.42561669051647194,1497
gue_emp_H3,gue_emp_H3,biophysical_grammar,43,0.952774852287535,0.9501456317816086,0.7614048026064454,0.8790915163660654,0.8786704985630389,0.9271523178807947,0.8301886792452831,0.9529409497152865,0.4085320070385933,1497
gue_emp_H3,gue_emp_H3,position_aware_grammar,44,0.9529658520911801,0.9501067488381516,0.7597333136700305,0.8777555110220441,0.8772763785009193,0.9324503311258279,0.8221024258760108,0.9530343876879759,0.3966892898082733,1497
gue_emp_H3,gue_emp_H3,reliability_routed_l2,44,0.9529033755198943,0.9501541871617594,0.7653399747768592,0.8810955243820975,0.8806804591135466,0.928476821192053,0.8328840970350404,0.9530845285432753,0.4371763110160828,1497
gue_emp_H3,gue_emp_H3,mucff_dual_decision,44,0.9527730672426411,0.9505128496127592,0.7643430177233882,0.8817635270541082,0.8815399582299495,0.9072847682119205,0.8557951482479784,0.9532688345952349,0.4822497115710033,1497
gue_human_tf_0,gue_human_tf_0,base_evidence,28,0.919976,0.9078367058664173,0.6737572360571497,0.831,0.831,0.924,0.738,0.8868278728126546,0.4765439307689667,1000
gue_human_tf_0,gue_human_tf_0,foundation_interactions,33,0.921572,0.910458367974714,0.6831582906642856,0.836,0.8360000000000001,0.926,0.746,0.8871907820559981,0.47005205988883975,1000
gue_human_tf_0,gue_human_tf_0,local_foundation_fusion,39,0.922868,0.9112938095384645,0.6790726042432376,0.837,0.837,0.898,0.776,0.8886686320560698,0.5080793142318727,1000
gue_human_tf_0,gue_human_tf_0,rc_grammar_1,40,0.9237639999999999,0.912120340692463,0.6794147716688429,0.837,0.837,0.9,0.774,0.8893528855345575,0.509066766500473,1000
gue_human_tf_0,gue_human_tf_0,rc_grammar_2,41,0.9242039999999999,0.9127211781153836,0.6758530792235963,0.834,0.8340000000000001,0.91,0.758,0.8899418105910639,0.48669566586613655,1000
gue_human_tf_0,gue_human_tf_0,rc_grammar_3,42,0.924308,0.9122161386744507,0.6760974990062347,0.835,0.835,0.902,0.768,0.8906074745693958,0.5017517542839051,1000
gue_human_tf_0,gue_human_tf_0,biophysical_grammar,43,0.9243960000000001,0.9121472417384776,0.6748205587819442,0.831,0.831,0.928,0.734,0.8909790241910447,0.4550035358965397,1000
gue_human_tf_0,gue_human_tf_0,position_aware_grammar,44,0.924324,0.9117031183136622,0.6816067829942152,0.838,0.8380000000000001,0.902,0.774,0.8912862164442352,0.5176782533526421,1000
gue_human_tf_0,gue_human_tf_0,reliability_routed_l2,44,0.9249120000000001,0.9120889832566988,0.6807703547174105,0.836,0.8360000000000001,0.916,0.756,0.8915137375032542,0.507028181552887,1000
gue_human_tf_0,gue_human_tf_0,mucff_dual_decision,44,0.9250160000000001,0.9124622219906494,0.6836888759905564,0.833,0.833,0.946,0.72,0.8915866684773879,0.4336138197678382,1000
gue_mouse_0,gue_mouse_0,base_evidence,24,0.8614235634811768,0.8664326488424705,0.5803628401981415,0.7864197530864198,0.7864197530864198,0.7061728395061728,0.8666666666666667,0.856459919392021,0.5409311696887016,810
gue_mouse_0,gue_mouse_0,foundation_interactions,29,0.8634415485444293,0.8673895746831194,0.5730509128270517,0.7864197530864198,0.7864197530864198,0.7728395061728395,0.8,0.8570455153983583,0.45783169612288477,810
gue_mouse_0,gue_mouse_0,local_foundation_fusion,35,0.8658070416095107,0.8699072337166713,0.5661546470640978,0.7777777777777778,0.7777777777777778,0.6814814814814815,0.8740740740740741,0.8642807978365499,0.562204003930092,810
gue_mouse_0,gue_mouse_0,rc_grammar_1,36,0.8872915714067977,0.8962892302703136,0.6357886809756281,0.808641975308642,0.808641975308642,0.6888888888888889,0.928395061728395,0.8802809564483762,0.5834001192450524,810
gue_mouse_0,gue_mouse_0,rc_grammar_2,37,0.8931748209114465,0.9040161400635179,0.6504561293754139,0.8197530864197531,0.8197530864197531,0.7283950617283951,0.9111111111111111,0.8846699000983793,0.5324305221438408,810
gue_mouse_0,gue_mouse_0,rc_grammar_3,38,0.8953269318701418,0.905647923429102,0.6343976082724261,0.8135802469135802,0.8135802469135802,0.7382716049382716,0.8888888888888888,0.8868937541922755,0.5111317995190621,810
