stage,nominal_sources,mean_auc,mean_auprc,mean_mcc,mean_accuracy,cumulative_auc_gain,incremental_auc_gain
foundation_local_bank,48/44,0.9343359961460054,0.9349287320537133,0.7240382684879438,0.8603535751583864,0.0,
plus_rc_motif_experts,51/47,0.9411625928196494,0.9422150865222729,0.7416300566025301,0.8690463140119913,0.0068265966736440475,0.0068265966736440475
plus_biophysical_grammar,52/48,0.9417618857648613,0.9429208681590481,0.7439959261602783,0.8702839886930652,0.00742588961885593,0.0005992929452118823
plus_positional_biophysical_grammar,53/49,0.9437047744222296,0.9448023897789474,0.7492012911297364,0.872773805682366,0.009368778276224177,0.001942888657368247
complete_mucff,53/49,0.9443442104994448,0.9458187714079906,0.7514945512830367,0.8741606567353329,0.01000821435343946,0.000639436077215283
