metric,sparse_aligned_control_mean,mucff_mean,mucff_minus_control,ci95_low,ci95_high,wins,ties,losses,wilcoxon_one_sided_p
auc,0.9437223817700552,0.944344210499445,0.0006218287293898,0.0003367258828164,0.0009048321692133,10,0,0,0.0009765625
auprc,0.944815418107488,0.9458187714079906,0.0010033533005025,0.000374663219035,0.0018587641463044,10,0,0,0.0009765625
mcc,0.752439485957154,0.7514945512830368,-0.0009449346741174,-0.0113846770729342,0.0072253844563577,6,0,4,0.4228515625
accuracy,0.8749244464341173,0.8741606567353329,-0.0007637896987841,-0.0065648360910404,0.0035719914022618,6,0,4,0.384765625
balanced_accuracy,0.8749166654475486,0.8741800987283114,-0.0007365667192372,-0.0065135221168994,0.0035884486132542,6,0,4,0.384765625
sensitivity,0.880788698575279,0.8783724077098988,-0.0024162908653802,-0.0073383208420125,0.0030706482955405,2,2,6,0.80859375
specificity,0.8690446323198181,0.8699877897467237,0.0009431574269057,-0.0136525548361273,0.0099468894146658,8,0,2,0.052734375
