analysis_group,task_id,condition,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
primary,ipromoter_mm_tata,without_engineered,0.95144,0.9648568800394767,0.7024689299064875,0.846,0.8460000000000001,0.932,0.76
primary,ipromoter_mm_tata,without_foundation,0.9570559999999999,0.9685987726145866,0.7457555790440946,0.87,0.8700000000000001,0.932,0.808
primary,ipromoter_mm_tata,without_local_derived,0.9588479999999999,0.9696410131936587,0.7775941468942756,0.888,0.888,0.92,0.856
primary,ipromoter_mm_tata,without_sequence_grammar,0.954192,0.9669062044884986,0.7604479406278949,0.878,0.878,0.932,0.824
primary,ipromoter_mm_tata,without_strongest,0.9587840000000001,0.9694657624554803,0.7852322109186564,0.892,0.892,0.92,0.864
primary,ipromoter_mm_notata,complete,0.9004835200000001,0.9189235226585182,0.5145409002547621,0.7386,0.7385999999999999,0.9256,0.5516
primary,ipromoter_mm_notata,without_engineered,0.9073247200000001,0.9259074102378431,0.6122696067903641,0.8028,0.8028,0.8764,0.7292
primary,ipromoter_mm_notata,without_foundation,0.90011744,0.9199796583064381,0.5098655382648403,0.7368,0.7368,0.922,0.5516
primary,ipromoter_mm_notata,without_local_derived,0.8975622400000001,0.9146197404190451,0.35579519994699627,0.632,0.632,0.9672,0.2968
primary,ipromoter_mm_notata,without_sequence_grammar,0.8990551999999999,0.91658674683893,0.4846690741444955,0.7192,0.7192000000000001,0.9324,0.506
primary,ipromoter_mm_notata,without_strongest,0.9034361599999999,0.9198912086965925,0.3899926902713028,0.652,0.6519999999999999,0.9652,0.3388
primary,snnrice6ma_rice_chen,complete,0.898722882231405,0.9005851576342687,0.6099990216107299,0.8045454545454546,0.8045454545454545,0.8318181818181818,0.7772727272727272
primary,snnrice6ma_rice_chen,without_engineered,0.892785382231405,0.8942478417008055,0.6149160708794709,0.8073863636363636,0.8073863636363636,0.8181818181818182,0.7965909090909091
primary,snnrice6ma_rice_chen,without_foundation,0.898330320247934,0.8982671055019404,0.6244158079608384,0.8119318181818181,0.8119318181818183,0.7909090909090909,0.8329545454545455
primary,snnrice6ma_rice_chen,without_local_derived,0.8991890495867769,0.9017830883512534,0.6284776720829076,0.8142045454545455,0.8142045454545455,0.821590909090909,0.8068181818181818
primary,snnrice6ma_rice_chen,without_sequence_grammar,0.8967342458677687,0.8979302599518348,0.6207148385666564,0.8096590909090909,0.8096590909090908,0.8431818181818181,0.7761363636363636
primary,snnrice6ma_rice_chen,without_strongest,0.8983032024793389,0.8999388090615754,0.6313020935146437,0.8153409090909091,0.8153409090909092,0.8375,0.7931818181818182
auxiliary,ienhancer_recognition,complete,0.81585,0.7969067020414323,0.4623173950192375,0.73,0.73,0.78,0.68
auxiliary,ienhancer_recognition,without_engineered,0.8404499999999999,0.8356175961172332,0.5166560727766062,0.755,0.755,0.675,0.835
auxiliary,ienhancer_recognition,without_foundation,0.804225,0.7827526432744136,0.4538513856498976,0.725,0.7250000000000001,0.79,0.66
auxiliary,ienhancer_recognition,without_local_derived,0.817,0.7976702201722414,0.4800960288096034,0.74,0.74,0.75,0.73
auxiliary,ienhancer_recognition,without_sequence_grammar,0.81585,0.7966002183919734,0.45212108190854766,0.72,0.72,0.605,0.835
auxiliary,ienhancer_recognition,without_strongest,0.8146,0.7985282004264755,0.48154341234307674,0.74,0.74,0.78,0.7
auxiliary,ienhancer_strength,complete,0.9994999999999999,0.9995008706512909,0.5078007830046403,0.705,0.705,1.0,0.41
auxiliary,ienhancer_strength,without_engineered,0.8218000000000001,0.7698285729319843,0.5891883036371794,0.77,0.77,0.97,0.57
auxiliary,ienhancer_strength,without_foundation,1.0,1.0,0.5619514869490164,0.74,0.74,1.0,0.48
auxiliary,ienhancer_strength,without_local_derived,0.9998,0.9998009900990099,0.5850486126764433,0.755,0.755,1.0,0.51
auxiliary,ienhancer_strength,without_sequence_grammar,0.999,0.9989744381827804,0.5927489783638191,0.76,0.76,1.0,0.52
auxiliary,ienhancer_strength,without_strongest,0.9994999999999999,0.9994948463981681,0.5388159060803247,0.725,0.725,1.0,0.45
