method,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
anchor_query_qkv,0.9401669384402608,0.9402724215370629,0.7461159263743767,0.8709118881432103,0.8708634496994243,0.8603319755951055,0.8813949238037428,0.49988650277256974
mucff,0.9443442104994448,0.9458187714079906,0.7514945512830367,0.8741606567353329,0.8741800987283114,0.8783724077098988,0.8699877897467237,0.48898230612278004
source_self_attention,0.9406564923279086,0.9406697656694194,0.7457611957724861,0.8702669027549701,0.8702283158625962,0.8559943273759009,0.8844623043492914,0.5228881577700377
sparse_aligned_control,0.9437047744222296,0.9448023897789474,0.7492012911297364,0.872773805682366,0.8727888352117867,0.8831847002877453,0.8623929701358282,0.4753976058214905
