task_id,method,oof_auc,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,aligned_l2,0.953944837602818,0.9560825404758929,0.9533470188534863,0.787680412526638,0.8937875751503006,0.8936925438674783,0.904635761589404,0.8827493261455526,0.46232391476631185
gue_emp_H3,routed_l2,0.953660097902967,0.9563003159529462,0.9536424075533841,0.7849442617096004,0.8924515698062793,0.8923796433480302,0.9006622516556292,0.8840970350404312,0.4934822584688664
gue_emp_H3,aligned_sparse,0.9540941146468884,0.9552417843308759,0.951704803825195,0.7866335907339573,0.8931195724782899,0.8929606754609878,0.9112582781456954,0.8746630727762803,0.4303330028057099
gue_emp_H3,mucff,0.9537887195677412,0.9557487370807376,0.9528777505693167,0.7875763263555277,0.8937875751503006,0.8937389550347191,0.8993377483443709,0.8881401617250674,0.4908495913445951
gue_human_tf_0,aligned_l2,0.8931179496124484,0.924204,0.9097746569733651,0.6870757498783109,0.839,0.839,0.92,0.758,0.5055294883251192
gue_human_tf_0,routed_l2,0.8931024751118958,0.9247080000000001,0.9109947185462256,0.6831582906642856,0.836,0.8360000000000001,0.926,0.746,0.4868472538888455
gue_human_tf_0,aligned_sparse,0.8936196699011856,0.923892,0.9096866078730428,0.6871618150347321,0.84,0.8400000000000001,0.912,0.768,0.5079689371585847
gue_human_tf_0,mucff,0.8934754464789247,0.923996,0.9097714150340177,0.6861856127059405,0.839,0.839,0.916,0.762,0.4947865843772889
gue_mouse_0,aligned_l2,0.8907021722549495,0.9005029721079104,0.9122504838651044,0.6743464439536244,0.8320987654320988,0.8320987654320988,0.745679012345679,0.9185185185185185,0.5761446440219881
gue_mouse_0,routed_l2,0.8901799086901042,0.9002103337905807,0.9116889653835211,0.6677265524170372,0.828395061728395,0.828395061728395,0.7382716049382716,0.9185185185185185,0.5605187729001047
gue_mouse_0,aligned_sparse,0.8915552655011743,0.8993629019966469,0.9116703658186376,0.6624348904908103,0.8246913580246914,0.8246913580246914,0.725925925925926,0.9234567901234568,0.588956418633461
gue_mouse_0,mucff,0.891304563928374,0.8994238683127572,0.9115595742621867,0.6665347970843922,0.828395061728395,0.828395061728395,0.7432098765432099,0.9135802469135802,0.5579126328229905
gue_prom_300_all,aligned_l2,0.9871799866063241,0.9868189289138473,0.9873693481999625,0.8794843532405099,0.939695945945946,0.9396395470940053,0.947986577181208,0.9312925170068027,0.4553403854370117
gue_prom_300_all,routed_l2,0.9871729444385903,0.9868869561247318,0.9874145668970672,0.8794843532405099,0.939695945945946,0.9396395470940053,0.947986577181208,0.9312925170068027,0.4572805091738703
gue_prom_300_all,aligned_sparse,0.9871403330152478,0.9868563667077571,0.9873834393327826,0.8788805035300586,0.9393581081081082,0.9392857142857143,0.95,0.9285714285714286,0.45735807716846544
gue_prom_300_all,mucff,0.9871361305449292,0.986897456969365,0.9874153098237508,0.8789440097361544,0.9393581081081082,0.9392743003241565,0.9516778523489933,0.9268707482993197,0.45900312811136407
gue_prom_core_all,aligned_l2,0.9261873861461559,0.9254359623700683,0.9262728366982658,0.6939482957841417,0.8469594594594595,0.8469437322405569,0.8527628032345014,0.8411246612466124,0.46021751686930673
gue_prom_core_all,routed_l2,0.9261908980680456,0.9253051633868765,0.9261784181058839,0.6979747131606132,0.8489864864864864,0.8489789918114814,0.8517520215633423,0.8462059620596206,0.4749465733766558
gue_prom_core_all,aligned_sparse,0.9263054618361901,0.925203354754235,0.9260557408595942,0.6956204932305072,0.847804054054054,0.8477924418732058,0.852088948787062,0.8434959349593496,0.46099806204438226
gue_prom_core_all,mucff,0.9262931200801913,0.9251652335846134,0.9259987850270854,0.6939161987933751,0.8469594594594595,0.8469565153872562,0.8480458221024259,0.8458672086720868,0.4753526747226716
