"task_id","method","oof_auc","auc","auprc","mcc","accuracy","balanced_accuracy","sensitivity","specificity","threshold"
"gue_emp_H3","aligned_l2","0.953944837602818","0.9560825404758929","0.9533470188534863","0.787680412526638","0.8937875751503006","0.8936925438674783","0.904635761589404","0.8827493261455526","0.46232391476631185"
"gue_emp_H3","residual_l2","0.9524485583957586","0.9556755502400884","0.951544330767004","0.7797452864426025","0.8897795591182365","0.8896610199746524","0.9033112582781457","0.876010781671159","0.4623283922672275"
"gue_emp_H3","aligned_sparse","0.9540941146468884","0.9552417843308759","0.951704803825195","0.7866335907339573","0.8931195724782899","0.8929606754609878","0.9112582781456954","0.8746630727762803","0.4303330028057099"
"gue_emp_H3","mucff","0.9535924824305696","0.9563556523446565","0.9537166632825098","0.7840296742740012","0.8917835671342685","0.8916129665661092","0.9112582781456954","0.871967654986523","0.44584707617759706"
"gue_human_tf_0","aligned_l2","0.8931179496124484","0.924204","0.9097746569733651","0.6870757498783109","0.839","0.839","0.92","0.758","0.5055294883251192"
"gue_human_tf_0","residual_l2","0.8923120835804272","0.925572","0.9121781765583363","0.6871465988985569","0.835","0.835","0.946","0.724","0.47844973951578146"
"gue_human_tf_0","aligned_sparse","0.8936196699011856","0.923892","0.9096866078730428","0.6871618150347321","0.84","0.8400000000000001","0.912","0.768","0.5079689371585847"
"gue_human_tf_0","mucff","0.8931745841302476","0.924844","0.9107212616105204","0.6813004132652556","0.837","0.837","0.91","0.764","0.504242742061615"
"gue_mouse_0","aligned_l2","0.8907021722549495","0.9005029721079104","0.9122504838651044","0.6743464439536244","0.8320987654320988","0.8320987654320988","0.745679012345679","0.9185185185185185","0.5761446440219881"
"gue_mouse_0","residual_l2","0.8880997784728908","0.8980948026215517","0.910673063741392","0.6476221086968672","0.8135802469135802","0.8135802469135802","0.6888888888888889","0.9382716049382716","0.620964195728302"
"gue_mouse_0","aligned_sparse","0.8915552655011743","0.8993629019966469","0.9116703658186376","0.6624348904908103","0.8246913580246914","0.8246913580246914","0.725925925925926","0.9234567901234568","0.588956418633461"
"gue_mouse_0","mucff","0.8905560740118639","0.899887212315196","0.9118645567810699","0.6681594761638154","0.8271604938271605","0.8271604938271605","0.725925925925926","0.928395061728395","0.5933399403095245"
"gue_prom_300_all","aligned_l2","0.9871799866063241","0.9868189289138473","0.9873693481999625","0.8794843532405099","0.939695945945946","0.9396395470940053","0.947986577181208","0.9312925170068027","0.4553403854370117"
"gue_prom_300_all","residual_l2","0.9871884894918599","0.9867180294936766","0.9873404062159895","0.8817515503209926","0.9408783783783784","0.940868830753778","0.9422818791946309","0.9394557823129251","0.4863364882767205"
"gue_prom_300_all","aligned_sparse","0.9871403330152478","0.9868563667077571","0.9873834393327826","0.8788805035300586","0.9393581081081082","0.9392857142857143","0.95","0.9285714285714286","0.45735807716846544"
"gue_prom_300_all","mucff","0.9872219704404157","0.9868836460758799","0.9874685854892673","0.8821237519075613","0.9410472972972973","0.9410115052732502","0.9463087248322147","0.9357142857142857","0.48792195320129417"
"gue_prom_core_all","aligned_l2","0.9261873861461559","0.9254359623700683","0.9262728366982658","0.6939482957841417","0.8469594594594595","0.8469437322405569","0.8527628032345014","0.8411246612466124","0.46021751686930673"
"gue_prom_core_all","residual_l2","0.9258200788581485","0.9252959184325671","0.92634331462788","0.6950749559498783","0.8474662162162162","0.847491124843863","0.8382749326145552","0.8567073170731707","0.48409955948591255"
"gue_prom_core_all","aligned_sparse","0.9263054618361901","0.925203354754235","0.9260557408595942","0.6956204932305072","0.847804054054054","0.8477924418732058","0.852088948787062","0.8434959349593496","0.46099806204438226"
"gue_prom_core_all","mucff","0.9260676672374526","0.9253623451413084","0.9261821403128457","0.6973204268431378","0.8486486486486486","0.8486575869801825","0.8453504043126685","0.8519647696476965","0.4744143411517145"
"ipromoter_hs_notata","aligned_l2","0.9168597594952211","0.9302399633590172","0.9340109890493338","0.7030228610561656","0.8510419346539748","0.8510551325670894","0.8254049884289021","0.8767052767052768","0.5298469233512878"
"ipromoter_hs_notata","residual_l2","0.9165362247518783","0.9295177997672212","0.9334127721449347","0.7034289353730225","0.851299202469771","0.8513116062100377","0.8272049370018","0.8754182754182754","0.5128591543436051"
"ipromoter_hs_notata","aligned_sparse","0.9169280732344566","0.9304474257161324","0.9343286867656735","0.702138417362567","0.8509133007460766","0.8509208727516776","0.8362046798662895","0.8656370656370657","0.5079851400852206"
"ipromoter_hs_notata","mucff","0.9167555005442953","0.93052006567049","0.9343852870573273","0.7053540665203895","0.852328273732956","0.8523396187577211","0.8302905631267679","0.8743886743886744","0.51530058324337"
"ipromoter_hs_tata","aligned_l2","0.9849489489022076","0.9880707762557077","0.9887750768660213","0.8823012602908432","0.9407744874715261","0.9408208800332087","0.9204545454545454","0.9611872146118722","0.5820517110824582"
"ipromoter_hs_tata","residual_l2","0.9841698955630764","0.9884288086342881","0.9889992119425153","0.8955569831157743","0.9476082004555809","0.9476390618513906","0.9340909090909091","0.9611872146118722","0.5416313642263412"
"ipromoter_hs_tata","aligned_sparse","0.9847458762055871","0.9878113325031134","0.9884554156935982","0.874717531350154","0.9373576309794989","0.9373599003735991","0.9363636363636364","0.9383561643835616","0.49805694818496704"
"ipromoter_hs_tata","mucff","0.9851417260968439","0.9889373183893732","0.9894903944463105","0.8955569831157743","0.9476082004555809","0.9476390618513906","0.9340909090909091","0.9611872146118722","0.5031037050485611"
"ipromoter_mm_notata","aligned_l2","0.9446425120803245","0.9537456602623943","0.9553943489061857","0.7668708248771823","0.8831855654067506","0.8832049033591218","0.86544437538844","0.9009654313298038","0.5417191648483277"
"ipromoter_mm_notata","residual_l2","0.944313274138596","0.9536312694534538","0.9553824019065241","0.7647358115194598","0.8820967491056152","0.882116932568844","0.8635798632691113","0.9006540018685768","0.5368252420425419"
"ipromoter_mm_notata","aligned_sparse","0.9446388486714604","0.9533947456488427","0.9549893827377675","0.7673863263512407","0.8836522009643801","0.8836598536068622","0.8766314481044126","0.8906882591093117","0.5130396294593812"
"ipromoter_mm_notata","mucff","0.9444138852156975","0.9535909133051221","0.9553579100141768","0.7692163569711357","0.8845854720796391","0.8845910935045183","0.8794282162834058","0.8897539707256307","0.5089743459224702"
"ipromoter_mm_tata","aligned_l2","0.9894889217788858","0.9909482758620689","0.9915244399906753","0.9059150047556359","0.9529540481400438","0.9529932950191571","0.9504310344827587","0.9555555555555556","0.4945820653438572"
"ipromoter_mm_tata","residual_l2","0.9885829001553094","0.9913122605363984","0.9918806131135872","0.9126154142178831","0.9562363238512035","0.956360153256705","0.9482758620689655","0.9644444444444444","0.48565607130527505"
"ipromoter_mm_tata","aligned_sparse","0.9886215179611714","0.9902969348659003","0.9911382020103024","0.8971402225708527","0.9485776805251641","0.9485153256704981","0.9525862068965517","0.9444444444444444","0.4376164379715921"
"ipromoter_mm_tata","mucff","0.9891304347826088","0.991551724137931","0.9921368844760826","0.9058913400284436","0.9529540481400438","0.9529597701149426","0.9525862068965517","0.9533333333333334","0.46485067129135305"
"snnrice6ma_rice_chen","aligned_l2","0.8897998410755321","0.8814650262018683","0.8905002596325898","0.6000000009734633","0.8","0.799982911825017","0.7954545454545454","0.8045112781954887","0.5314326733350754"
"snnrice6ma_rice_chen","residual_l2","0.8909595601657969","0.876680337206653","0.8876448060741402","0.5885090055660349","0.7924528301886793","0.7922362724994304","0.7348484848484849","0.849624060150376","0.6191715449094775"
"snnrice6ma_rice_chen","aligned_sparse","0.8900629254987865","0.8845408976987924","0.89261125287288","0.5398991206424848","0.7622641509433963","0.7627022100706311","0.8787878787878788","0.6466165413533834","0.3516634047031403"
"snnrice6ma_rice_chen","mucff","0.8901989419352991","0.8855092276144907","0.8968640306097969","0.5259930237408523","0.7584905660377359","0.7588288904078377","0.8484848484848485","0.6691729323308271","0.3918277028203011"
