"method","oof_auc","auc","auprc","mcc","accuracy","balanced_accuracy","sensitivity","specificity","threshold"
"aligned_l2","0.9376872315554866","0.9437514105808775","0.9449219459034991","0.7580645207336516","0.8779497781660102","0.8779431711437734","0.8728253643559984","0.8830609779315484","0.5139188487380744"
"aligned_sparse","0.9377712086472147","0.9437047744222296","0.9448023897789474","0.7492012911297364","0.872773805682366","0.8727888352117867","0.8831847002877453","0.8623929701358282","0.4753976058214905"
"mucff","0.9376253266825294","0.9443442104994448","0.9458187714079906","0.7514945512830367","0.8741606567353332","0.8741800987283114","0.8783724077098988","0.8699877897467237","0.48898230612278004"
"residual_l2","0.9370430843573742","0.94309267763859","0.9445399097092304","0.7556186650101072","0.8756397706697261","0.8756265248872281","0.8626757015255491","0.8885773482489071","0.5228321752101184"
